sample,Total-reads,Mapped-reads,Unmapped-reads,Uniquely-mapped-reads,Multiple-mapped-reads,Unmapped-reads/Mapped-reads ratio, Uniquely-mapped-reads/Multiple-mapped-reads ratio,Q30-pct,Sense/anti-sense ratio,Orientation,Exonic/Intronic ratio,Library-size (Mil),Uniquely-Mapped-NonDupeReads,dataset
BT4,63408596,63397871,10725,36728043,26669828,0.00,1.38,95.70,-51.98,RF,22.60,33.3,20799648.4,paul
BT5,67530685,67519210,11475,43988792,23530418,0.00,1.87,95.96,-45.89,RF,19.81,39.6,23000664,paul
BT1,65495883,65486133,9750,45483406,20002727,0.00,2.27,94.94,-48.95,RF,16.79,40.8,25343164.575,paul
BT3,62428904,62417254,11650,41055163,21362091,0.00,1.92,95.97,-52.14,RF,23.76,37.4,22853506.4,paul
BT7,56729268,56720945,8323,41361187,15359758,0.00,2.69,95.81,-36.05,RF,19.01,36.9,21493153.6,paul
BT8,51461981,51453544,8437,41075878,10377666,0.00,3.96,95.80,-36.32,RF,13.10,36.0,18713640.4,paul
BT2,68992374,68980936,11438,44380815,24600121,0.00,1.80,95.81,-51.20,RF,24.28,40.4,23721519.2,paul
BT6,60053120,60043212,9908,40447260,19595952,0.00,2.06,95.96,-40.17,RF,18.08,36.2,21824917.425,paul
V9,47827212,47821706,5506,39658279,8163427,0.00,4.86,96.88,-57.11,RF,25.35,35.4,25758557.6,ASC21
V8,76530311,76522407,7904,68185871,8336536,0.00,8.18,96.88,-52.82,RF,12.23,59.8,30087807.28,ASC21
V3,20528928,20527011,1917,18333075,2193936,0.00,8.36,96.72,-92.12,RF,36.95,17.0,7062474.9,ASC21
V4,128265266,128253403,11863,113378822,14874581,0.00,7.62,96.62,-61.08,RF,39.01,105.3,50591592.205,ASC21
V7,84027537,84020418,7119,70440168,13580250,0.00,5.19,96.83,-71.62,RF,39.11,65.5,23614023.51,ASC21
V11,105724744,105714569,10175,87807774,17906795,0.00,4.90,96.93,-76.23,RF,37.43,81.3,39028600.285,ASC21
V5,99269334,99258599,10735,82294659,16963940,0.00,4.85,96.94,-65.90,RF,34.08,76.2,44574648.345,ASC21
V12,97614026,97602981,11045,83125155,14477826,0.00,5.74,96.88,-52.73,RF,12.25,73.4,43234994.4,ASC21
V6,99755833,99745727,10106,79254712,20491015,0.00,3.87,97.08,-60.07,RF,31.82,72.8,40494063.2,ASC21
V1,82489145,82481613,7532,72013979,10467634,0.00,6.88,96.57,-54.62,RF,34.44,66.8,32590807.095,ASC21
V2,104756089,104743749,12340,93098957,11644792,0.00,7.99,96.62,-47.61,RF,32.09,85.4,39719628.295,ASC21
V10,98066457,98055091,11366,84712056,13343035,0.00,6.35,96.81,-48.91,RF,22.76,76.5,47670062.8,ASC21
AF3,79348143,79321837,26306,69229675,10092162,0.00,6.86,97.29,-46.32,RF,35.09,63.8,33114341.03,ASC32
AF4,109120483,109090150,30333,95110191,13979959,0.00,6.80,97.27,-65.92,RF,35.99,88.2,46812222.725,ASC32
AF7,70391806,70370072,21734,65315469,5054603,0.00,12.92,96.35,-83.43,RF,18.70,58.9,35424402.12,ASC32
AF6,86565350,86541974,23376,81220052,5321922,0.00,15.26,96.72,-71.11,RF,20.40,73.3,43195186.78,ASC32
AF2,91569401,91536320,33081,80217674,11318646,0.00,7.09,97.22,-44.04,RF,21.45,72.4,41689521.34,ASC32
AF8,88413056,88389383,23673,82086123,6303260,0.00,13.02,96.66,-82.24,RF,17.25,73.5,38524941.12,ASC32
AF1,101712029,101682374,29655,89579015,12103359,0.00,7.40,97.23,-53.43,RF,30.67,82.3,34391887.76,ASC32
AF5,93639303,93618501,20802,86247514,7370987,0.00,11.70,96.99,-70.51,RF,28.26,78.9,35945022.96,ASC32
AW7,87029656,87029656,0,77690773,9338883,0.00,8.32,94.18,-71.27,RF,13.35,69.0,NA,ASC50
AW3,73652416,73652416,0,53526101,20126315,0.00,2.66,94.26,-56.82,RF,14.42,47.1,NA,ASC50
AW6,75691515,75691515,0,68451529,7239986,0.00,9.45,94.86,-64.35,RF,9.15,59.1,NA,ASC50
AW8,109942598,109942598,0,100777893,9164705,0.00,11.00,94.35,-49.59,RF,11.23,87.3,NA,ASC50
AW10,60884739,60884739,0,52916438,7968301,0.00,6.64,90.65,-51.07,RF,7.46,44.7,NA,ASC50
AW4,113294130,113294130,0,92472055,20822075,0.00,4.44,94.65,-72.55,RF,32.08,84.9,NA,ASC50
AW5,120474431,120474431,0,40088602,80385829,0.00,0.50,94.47,-51.77,RF,4.91,31.9,NA,ASC50
AW9,55164948,55164948,0,47192978,7971970,0.00,5.92,94.49,-41.60,RF,6.36,40.5,NA,ASC50
AV3,99683905,99683905,0,77444381,22239524,0.00,3.48,95.21,-101.11,RF,50.22,72.4,NA,ASC49b
AV5,97335109,97335109,0,67409752,29925357,0.00,2.25,95.10,-82.31,RF,32.33,61.6,NA,ASC49b
AV6,87892791,87892791,0,66985258,20907533,0.00,3.20,95.09,-54.80,RF,10.80,58.0,NA,ASC49b
