gene_id	gene_name	transcript_size
ENSG00000186092.4	OR4F5	918
ENSG00000279928.1	FO538757.3	718
ENSG00000279457.3	FO538757.2	1687
ENSG00000278566.1	OR4F29	939
ENSG00000273547.1	OR4F16	939
ENSG00000187634.10	SAMD11	2557
ENSG00000188976.10	NOC2L	4201
ENSG00000187961.13	KLHL17	2560
ENSG00000187583.10	PLEKHN1	2455
ENSG00000187642.9	PERM1	3340
ENSG00000188290.10	HES4	1040
ENSG00000187608.8	ISG15	788
ENSG00000188157.13	AGRN	7394
ENSG00000237330.2	RNF223	1902
ENSG00000131591.17	C1orf159	3315
ENSG00000162571.13	TTLL10	2283
ENSG00000186891.13	TNFRSF18	1179
ENSG00000186827.10	TNFRSF4	1707
ENSG00000078808.16	SDF4	3516
ENSG00000176022.4	B3GALT6	2777
ENSG00000184163.3	FAM132A	1036
ENSG00000160087.20	UBE2J2	2455
ENSG00000162572.19	SCNN1D	3475
ENSG00000131584.18	ACAP3	5319
ENSG00000169972.11	PUSL1	1783
ENSG00000127054.18	CPSF3L	3079
ENSG00000224051.6	CPTP	2190
ENSG00000169962.4	TAS1R3	3433
ENSG00000107404.17	DVL1	3239
ENSG00000162576.16	MXRA8	2728
ENSG00000175756.13	AURKAIP1	1072
ENSG00000221978.11	CCNL2	4452
ENSG00000242485.5	MRPL20	1693
ENSG00000235098.8	ANKRD65	2190
ENSG00000205116.3	TMEM88B	492
ENSG00000179403.11	VWA1	4511
ENSG00000215915.9	ATAD3C	3859
ENSG00000160072.19	ATAD3B	4314
ENSG00000197785.13	ATAD3A	2612
ENSG00000205090.8	TMEM240	796
ENSG00000160075.11	SSU72	4176
ENSG00000279244.1	AL645728.1	276
ENSG00000228594.3	C1orf233	2085
ENSG00000197530.12	MIB2	4247
ENSG00000189409.12	MMP23B	1531
ENSG00000248333.8	CDK11B	2998
ENSG00000189339.11	SLC35E2B	6283
ENSG00000008128.22	CDK11A	2653
ENSG00000215790.6	SLC35E2	2078
ENSG00000008130.15	NADK	3653
ENSG00000078369.17	GNB1	3145
ENSG00000169885.9	CALML6	1882
ENSG00000178821.12	TMEM52	1118
ENSG00000142609.17	CFAP74	5247
ENSG00000187730.7	GABRD	1928
ENSG00000067606.15	PRKCZ	2326
ENSG00000162585.16	FAAP20	4478
ENSG00000157933.9	SKI	5613
ENSG00000116151.13	MORN1	4764
ENSG00000157916.18	RER1	3044
ENSG00000157911.9	PEX10	2871
ENSG00000149527.17	PLCH2	6986
ENSG00000157881.13	PANK4	2677
ENSG00000197921.5	HES5	1306
ENSG00000157873.17	TNFRSF14	4255
ENSG00000157870.14	FAM213B	2827
ENSG00000142606.15	MMEL1	2849
ENSG00000215912.11	TTC34	7257
ENSG00000169717.6	ACTRT2	1421
ENSG00000142611.16	PRDM16	8690
ENSG00000130762.14	ARHGEF16	3061
ENSG00000162591.15	MEGF6	5455
ENSG00000158109.14	TPRG1L	2414
ENSG00000116213.15	WRAP73	6089
ENSG00000078900.14	TP73	5188
ENSG00000162592.8	CCDC27	2252
ENSG00000235169.7	SMIM1	546
ENSG00000130764.9	LRRC47	4310
ENSG00000116198.12	CEP104	6424
ENSG00000169598.15	DFFB	3152
ENSG00000198912.10	C1orf174	3499
ENSG00000196581.10	AJAP1	11666
ENSG00000131697.17	NPHP4	5548
ENSG00000069424.14	KCNAB2	4273
ENSG00000116254.17	CHD5	9646
ENSG00000116251.9	RPL22	2279
ENSG00000158286.12	RNF207	3924
ENSG00000116237.15	ICMT	4771
ENSG00000173673.7	HES3	697
ENSG00000158292.6	GPR153	4082
ENSG00000097021.19	ACOT7	2429
ENSG00000069812.11	HES2	4262
ENSG00000187017.14	ESPN	3531
ENSG00000215788.9	TNFRSF25	3483
ENSG00000171680.20	PLEKHG5	5221
ENSG00000162408.10	NOL9	6649
ENSG00000173662.19	TAS1R1	2892
ENSG00000204859.11	ZBTB48	2484
ENSG00000162413.16	KLHL21	6445
ENSG00000116273.5	PHF13	3681
ENSG00000041988.15	THAP3	2053
ENSG00000007923.15	DNAJC11	3311
ENSG00000171735.18	CAMTA1	8444
ENSG00000049245.12	VAMP3	2205
ENSG00000049246.14	PER3	6318
ENSG00000049247.13	UTS2	1601
ENSG00000049249.8	TNFRSF9	5970
ENSG00000116288.12	PARK7	1088
ENSG00000116285.12	ERRFI1	3104
ENSG00000162426.14	SLC45A1	2784
ENSG00000142599.17	RERE	8026
ENSG00000074800.13	ENO1	2266
ENSG00000131686.14	CA6	1493
ENSG00000197241.3	SLC2A7	1539
ENSG00000142583.17	SLC2A5	4165
ENSG00000180758.11	GPR157	5265
ENSG00000049239.12	H6PD	9146
ENSG00000171621.13	SPSB1	3120
ENSG00000171612.6	SLC25A33	3854
ENSG00000188807.12	TMEM201	3851
ENSG00000171608.15	PIK3CD	5483
ENSG00000171603.16	CLSTN1	5221
ENSG00000280113.1	AL357140.1	649
ENSG00000178585.14	CTNNBIP1	3000
ENSG00000162441.11	LZIC	2281
ENSG00000173614.13	NMNAT1	3781
ENSG00000162444.11	RBP7	861
ENSG00000130939.18	UBE4B	5267
ENSG00000054523.17	KIF1B	10669
ENSG00000142657.20	PGD	1885
ENSG00000251503.8	APITD1-CORT	1469
ENSG00000175279.21	APITD1	914
ENSG00000241563.3	CORT	1130
ENSG00000160049.11	DFFA	6032
ENSG00000142655.12	PEX14	1985
ENSG00000130940.14	CASZ1	7936
ENSG00000175262.14	C1orf127	2761
ENSG00000120948.15	TARDBP	5367
ENSG00000277726.4	RP4-635E18.9	1793
ENSG00000009724.16	MASP2	2439
ENSG00000116649.9	SRM	1266
ENSG00000171824.13	EXOSC10	2808
ENSG00000198793.12	MTOR	8677
ENSG00000171819.4	ANGPTL7	2238
ENSG00000120942.13	UBIAD1	3646
ENSG00000204624.7	PTCHD2	5215
ENSG00000116661.9	FBXO2	1560
ENSG00000132879.13	FBXO44	3320
ENSG00000116663.10	FBXO6	1520
ENSG00000116670.14	MAD2L2	1860
ENSG00000162490.6	DRAXIN	7346
ENSG00000177674.15	AGTRAP	1116
ENSG00000215910.7	C1orf167	4545
ENSG00000177000.10	MTHFR	7057
ENSG00000011021.21	CLCN6	5631
ENSG00000175206.10	NPPA	855
ENSG00000120937.8	NPPB	694
ENSG00000116685.15	KIAA2013	2815
ENSG00000083444.16	PLOD1	2940
ENSG00000116688.16	MFN2	4539
ENSG00000116691.10	MIIP	1709
ENSG00000120949.14	TNFRSF8	3686
ENSG00000028137.16	TNFRSF1B	3683
ENSG00000048707.13	VPS13D	16320
ENSG00000162496.8	DHRS3	1722
ENSG00000204518.2	AADACL4	1575
ENSG00000188984.11	AADACL3	3832
ENSG00000157330.9	C1orf158	3549
ENSG00000116726.4	PRAMEF12	1786
ENSG00000116721.9	PRAMEF1	2160
ENSG00000239810.3	PRAMEF11	1845
ENSG00000179172.8	HNRNPCL1	1156
ENSG00000120952.4	PRAMEF2	1642
ENSG00000243073.3	PRAMEF4	1828
ENSG00000187545.5	PRAMEF10	1525
ENSG00000204510.5	PRAMEF7	1592
ENSG00000232423.5	PRAMEF6	1720
ENSG00000274764.5	PRAMEF27	1863
ENSG00000280267.3	PRAMEF26	1863
ENSG00000229571.6	PRAMEF25	1863
ENSG00000277058.2	HNRNPCL3	1148
ENSG00000275774.2	HNRNPCL2	1148
ENSG00000179412.10	HNRNPCL4	882
ENSG00000204505.4	PRAMEF9	1863
ENSG00000279804.1	PRAMEF18	2104
ENSG00000270601.4	PRAMEF5	1720
ENSG00000182330.10	PRAMEF8	1844
ENSG00000204501.6	PRAMEF15	1865
ENSG00000204481.7	PRAMEF14	1690
ENSG00000204480.7	PRAMEF19	1233
ENSG00000204479.4	PRAMEF17	1578
